Message,Summary,How did this happen?,How do I fix it?
MySQL client ran out of memory,MySQL could not serve a Composr database request because it ran out of memory.,"Either
 - A database table contains a very large amount of data
 - The server is configured to have a very low limit
 - Your server is overloaded
",Contact your webhost for advice on how to fix it. Or consult the MySQL documentation.
The SELECT would examine more than MAX_JOIN_SIZE rows,MySQL could not serve a Composr database request because a configured limit was exceeded.,"Either
 - A database table contains a very large amount of data
 - The server is configured to have a very low limit","There is currently no straight-forward fix to this problem. It may be a bug, or it may be a server configuration problem. Make a judgement call whether to contact your webhost or whether to post to the issue tracker. You may also wish to consult the MySQL documentation."
Can't open file: 'xxx.MYI',A MySQL data file has corrupted or gone missing on your server.,"Something outside the control of Composr caused this error, such as a hard disk fault, a power surge, a power cut, a forced computer reset, or a system administration mistake.",Contact your webhost or the MySQL documentation. Anticipate that you may need to restore a backed up database.
Lost connection to MySQL server,MySQL was not able to serve a Composr database request.,"There are three likely possible causes:
1) The MySQL server is overloaded
2) The web server is overloaded
3) You have a particularly large amount of data (less likely)",Contact your webhost or MySQL configuration.
MySQL server has gone away,MySQL was not able to serve a Composr database request.,"There are three likely possible causes:
1) The MySQL server is overloaded
2) The web server is overloaded
3) You have a particularly large amount of data (less likely)",Contact your webhost or MySQL configuration. Note that Composr usually tries to establish the connection again a few times. So it is unusual if you get this error and probably points to a problem.
Got packet bigger than 'max_allowed_packet' bytes,MySQL was not able to serve a particularly large Composr database request.,It is likely you're trying to insert a very large amount of data into a Composr entry.,"Consider breaking your data over a number of separate entries / queries in the code. If this happened in core Composr code, and your max_allowed_packet is greater than or equal to 16M, then please report it to the tracker."
Can't connect to local MySQL server through socket,Composr cannot connect to the MySQL database.,"It is likely that either:
1) MySQL is no longer running on the server.
2) The MySQL server is (no longer) running on the same physical server as your web server (""localhost"").","If you have just moved/installed your website then you likely entered the wrong database hostname. Your webhost, or webhosting control panel, likely provides documentation indicating what the correct setting is.

Otherwise, contact your webhost."
Can't connect to MySQL server on xxx,Composr cannot connect to the MySQL database.,"It is likely that either:
1) MySQL is no longer running on the server and needs resetting.
2) MySQL is intentionally (no longer) running on the server.
3) Your firewall is blocking the connection between your web server and the MySQL server.","If you have just moved/installed your website then you likely entered the wrong database hostname. Your webhost, or webhosting control panel, likely provides documentation indicating what the correct setting is.

If the MySQL server you are trying to access is on a different computer network to the web server it is likely you will need to use a different MySQL server. Most physical machines running web servers also run MySQL servers, so it is likely you can use 'localhost' as the MySQL server.

Otherwise, contact your webhost."
Access denied for user xxx,"Composr cannot connect to the MySQL server with the configured username and password.

[i]This advice is not relevant if you got the larger error message: Access denied for user xxx to database xxx[/i]","This could happen for a number of reasons:
1) You have configured Composr to use the wrong MySQL username and/or password.
2) The MySQL username and/or password you configured have been changed or removed.
3) You have moved your website to a new web server and not correctly updated the Composr configuration and/or set up your database.
4) If your MySQL server and web server are different physical machines it is important MySQL is configured to allow connections from the web server machine (or all machines) [i]for your configured username[/i]. This is not the default configuration.
5) The authentication scheme was recently changed on the database server and the passwords were not updated to match the new scheme.","If you have just moved/installed your website then you likely entered the wrong username/password. Your webhosting control panel likely provides documentation an interface where you can configure MySQL usernames and password. Note that on some webhosts you enter a username but it gets given a prefix - if this is the case it should be indicated in the webhosting control panel.

If you have recently changed your MySQL username/password or moved web servers you can edit your configured 'Installation Options'. Call up the '/config_editor.php' script (by URL) and log in to it. You can update your configuration from there.

If your MySQL server and web server are different physical machines then you will need to either change that situation, or make some changes to your MySQL credentials. It may be as simple as choosing to allow 'Any host' to make connections. Some webhosting control panels allow you to change these settings."
Access denied for user xxx to database xxx,Composr cannot connect to the MySQL database with the configured username and password.,"While the given username and password is correct, that user does not have privileges to access the database.",Make sure that the username you have configured has access to the database you have configured. You will be able to do this from your webhosting control panel or a tool such as PhpMyAdmin. You could also do this through raw SQL (consult the MySQL documentation). This is not automatic even if the username and database name are the same.
