Project,Maintenance codename,URL,Project alive?,Bundled?,Intention,Last sync/review date,Version,Minimum requirements,Unit test?,Health check?,Notes
(Various polyfills),,,N/A,Yes,Remove when browsers don't need it,N/A,N/A,N/A,N/A,N/A,"There's no need to update these, as they are for legacy use only and tested against our use cases. We simply remove them when no longer needed."
Ace,,https://github.com/ajaxorg/ace-builds/,Yes,Yes,Re-sync regularly,7th Mar 2026,23.01.26,N/A,N/A,N/A,"Download a ZIP of the latest passed commit, replace the contents of src into data/ace, except for data/ace/ace_composr.js which is custom coded and needs keeping!"
ApnsPHP,composr_mobile_sdk_notifications,https://github.com/immobiliare/ApnsPHP,Yes,No,Re-sync regularly,28th Mar 2020,N/A,PHP 5.3+,N/A,N/A,
aws-php-sns-message-validator,aws_ses,https://github.com/aws/aws-php-sns-message-validator,Yes,No,Re-sync regularly,28th Mar 2020,1.6.0,"PHP 5.4+, OpenSSL ext",aws_ses,N/A,cd sources_custom/aws_ses; composer require aws/aws-php-sns-message-validator
Behat transliterator,,https://github.com/Behat/Transliterator,Yes,No,Re-sync regularly,14th Feb 2024,1.5,PHP 7.2+,transliteration,N/A,We don't copy SyncTool.php
Browser.php,,https://github.com/cbschuld/Browser.php,Yes,No,Re-sync regularly,14th Feb 2024,1.9.6,PHP 7.2+,browser_upgrade_suggest,N/A,Browser.php --> browser_detect.php
Chart.js,,https://github.com/chartjs/Chart.js/releases,Yes,No,Re-sync regularly,23rd Dec 2023,4.4.1,IE11+,N/A,N/A,chart.umd.js only; --> charts.js
Chart.js datalabels plugin,,https://github.com/chartjs/chartjs-plugin-datalabels,Yes,Yes,Re-sync regularly,14th Feb 2024,2.2,IE11+,N/A,N/A,chartjs-plugin-datalabels.min.js only; append to the end of charts.js
CKEditor,,https://ckeditor.com/,Yes,Yes,Re-sync regularly,28th Mar 2020,4.14.0,IE8+,N/A,N/A,"""Long-term support (LTS) until 2023"". Use cms_patch.sh to apply patch (read the echo statements before running). CKEditor 5 removes a lot of features. CKEditor 5 does support CSP which is a definite advantage."
Cloudinary,cloudinary,https://github.com/cloudinary/cloudinary_php,Yes,No,Re-sync regularly,28th Mar 2020,1.16.0,PHP 5.4+,_api_cloudinary,Cloudinary,Just 'src' directory and autoload.php
Columnizer,,https://github.com/adamwulf/Columnizer-jQuery-Plugin,No,No,Re-sync regularly,14th Feb 2024,1.6.2,IE9+,N/A,N/A,Keep code at top of columns.js. CSS is our own
cssmin,,https://code.google.com/archive/p/cssmin/,No,Yes,No action,N/A,1,PHP 5+,N/A,N/A,"Later versions are unreasonable complex, what we are using is just a few simple lines of code"
FirePHP,,https://github.com/firephp/insight/tree/master/lib/FirePHPCore,No,Yes,Re-sync regularly,7th Mar 2025,0.5.3,N/A,N/A,N/A,"A small amount of custom code, followed by insight/lib/FirePHPCore/fb.php, followed by insight/lib/FirePHPCore/FirePHP.class.php.php"
Flip,,https://github.com/nnattawat/flip,No,No,Re-sync regularly,14th Feb 2024,1.1.2,IE9+,N/A,N/A,dist folder. Keep custom code at top of jquery_flip.js
GeSHI,,https://github.com/GeSHi/geshi-1.0,No,No,Re-sync regularly,14th Feb 2024,1.0.9.1,N/A,geshi,N/A,"Actual website is outdated, but GitHub is being updated"
getid3,,https://github.com/JamesHeinrich/getID3,Yes,No,Re-sync regularly,14th Feb 2024,1.9.23,PHP 5.0.5+,getid3,N/A,Just getid3 folder
Glide,,https://glidejs.com/,Yes,Yes,Re-sync regularly,15th Feb 2024,3.6.1,IE11+,N/A,N/A,
Noto fonts,,https://fonts.google.com/noto,Yes,Yes,Re-sync regularly,15th Feb 2024,,N/A,N/A,N/A,Select files from Noto Sans
HTML5-Desktop-Notifications,,https://github.com/ttsvetko/HTML5-Desktop-Notifications,Yes,Yes,Remove when browsers don't need it,N/A,3.0.0,IE9+,N/A,N/A,
Hybridauth,,https://hybridauth.github.io/,Yes,No,Re-sync regularly,15th Feb 2024,3.11.0,PHP 5.4+,N/A,N/A,3.6.0 is the release enhanced with many fixes from Chris Graham. Diff for changes and keep the ones labeled Composr or ChrisG.
jQuery,,https://jquery.com/,Yes,Yes,Re-sync regularly,15th Feb 2024,3.7.1,IE9+,N/A,N/A,
JShrink,,https://github.com/tedious/JShrink/,Yes,Yes,Re-sync regularly,15th Feb 2024,1.7.0,PHP 5.6+,N/A,N/A,Just paste src/JShrink/Minifier.php into jsmin.php
JSON5,,https://github.com/json5/json5/,Yes,Yes,Re-sync regularly,21st Feb 2024,2.2.3,,N/A,N/A,Use the unpkg.com link they provide
CRC,,https://github.com/pburggraf/CRC,Yes,Yes,No action,21st Feb 2024,N/A,N/A,N/A,N/A,"Basic algorithm, no maintenance required"
Masonry,,https://github.com/desandro/masonry,No,Yes,Re-sync regularly,21st Feb 2024,4.2.2,IE10+,N/A,N/A,
MediaElement.js,,https://github.com/mediaelement/mediaelement,Yes,Yes,Re-sync regularly,21st Feb 2024,7.0.3,IE11+,N/A,N/A,From 'build' directory. Files strewn around.
modalwindow.js,,,No,Yes,No action,N/A,N/A,N/A,N/A,N/A,Original website dead; consider replacing with another library (perhaps Bootstrap's implementation)
Modernizr,,https://modernizr.com/,No,Yes,Re-sync regularly,21st Feb 2024,3.6.0,N/A,N/A,N/A,
OpenSpout,,https://github.com/openspout/openspout,Yes,No,Re-sync regularly,12th Oct 2024,4.26.0,PHP 8.2+,spreadsheets,N/A,"Replace all files in openspout and install the composer package (remove all require-dev packages)"
Orestbida CookieConsent,,https://github.com/orestbida/cookieconsent,Yes,Yes,Re-sync regularly,5st Aug 2025,3.1.0,,N/A,Cookies,"Re-sync regularly; use the UMD dist JavaScript file; update cookie_consent_override.css"
PDF.js,,https://github.com/mozilla/pdf.js,Yes,No,Re-sync regularly,21st Feb 2024,4.0.379,IE11+,N/A,N/A,Disable print/download buttons each time in viewer.html. Don't include web/compressed.tracemonkey-pldi-09.pdf
PHP,php,https://github.com/php,Yes,N/A,"Maintain our github fork, re-sync if our origin version is no longer meeting our minimum requirements",20th Oct 2020,8.0.0 RC2,N/A,N/A,N/A,
PHP ISO Codes,php_isocodes,https://github.com/sokil/php-isocodes,Yes,Yes,Re-sync regularly,28th Feb 2025,4.2.1,PHP 7.1+,N/A,N/A,"Use sokil/php-isocodes and sokil/php-isocodes-db-only; update using PHP Composer in sources/isocodes"
